,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
3084,Walk-Up Apartments,174273.0,1.0,30.0,112.0,116.0, , ,#6,7.8,158000.0,1977
3085,Walk-Up Apartments,209780.0,1.0,16.0,97.0,97.0, ,YES,#6,15.0,157680.0,1979
3086,Elevator Apartments,166617.0,1.0,15.0,89.0,89.0, ,YES,#6,10.0,156950.0,1980
3087,Office Buildings,30200.0,5.0,4.0,72.0,72.0, , ,#4,2.9,156660.0,1981
3088,Educational Structures,203436.0,1.0,13.0,90.0,90.0, ,YES,#6,11.7,156038.0,1981
3089,Elevator Apartments,232644.0,1.0,21.0,0.0,6.0, , ,#6,11.9,155125.0,1979
3090,Loft Buildings,124081.0,1.0,15.0,62.0,62.0, ,YES,#6,7.4,154760.0,1969
3091,Walk-Up Apartments,26490.0,1.0,8.0,41.0,41.0, , ,#6,14.9,154176.0,1979
3092,Condominiums,154780.0,1.0,13.0,128.0,129.0, , ,#6,9.8,154000.0,1981
3093,Elevator Apartments,350000.0,2.0,21.0,430.0,439.0, ,YES,#6,29.6,153738.0,1978
3094,Educational Structures,846700.0,12.0,20.0,1267.0,1268.0, ,YES,#6,14.74,153738.0,1981
3095,Elevator Apartments,224039.0,1.0,45.0,253.0,255.0,YES, ,#6,8.4,153318.0,1986
3096,Hotels,168200.0,1.0,14.0,0.0,0.0, , ,#6,5.8,153300.0,1980
3097,Elevator Apartments,103112.0,1.0,16.0,64.0,64.0, , ,#6,8.4,153300.0,1992
3098,Elevator Apartments,190289.0,1.0,26.0,215.0,217.0, , ,#6,8.4,153300.0,1986
3099,Walk-Up Apartments,184044.0,1.0,8.0,0.0,11.0, , ,#6,1.0,152000.0,1973
3100,Elevator Apartments,196727.0,1.0,14.0,70.0,74.0, ,YES,#6,10.4,151840.0,1980
3101,Elevator Apartments,150000.0,4.0,16.0,0.0,77.0, , ,#6,7.3,151840.0,1980
3102,Walk-Up Apartments,257760.0,1.0,16.0,287.0,287.0, , ,#6,10.5,151840.0,1967
3103,Elevator Apartments,143791.0,1.0,18.0,210.0,213.0, , ,#6,10.36,151840.0,1980
3104,Elevator Apartments,332377.0,1.0,18.0,285.0,289.0,YES, ,#6,13.86,151767.0,1990
3105,Elevator Apartments,120835.0,1.0,15.0,46.0,46.0, ,YES,#6,8.4,151767.0,1968
3106,Loft Buildings,186523.0,2.0,16.0,138.0,142.0, , ,#6,9.95,151600.0,1982
3107,Elevator Apartments,235400.0,2.0,19.0,303.0,320.0, , ,#6,10.36,151256.0,1983
3108,Walk-Up Apartments,175671.0,1.0,21.0,126.0,128.0, ,YES,#6,6.4,151110.0,1977
3109,Elevator Apartments,174040.0,1.0,14.0,200.0,206.0, , ,#6,14.0,151110.0,1977
3110,Elevator Apartments,138470.0,1.0,16.0,118.0,127.0, ,YES,#6,7.7,150562.0,1968
3111,Elevator Apartments,637555.0,1.0,13.0,384.0,384.0, , ,#6,23.5,150497.0,1969
3112,Asylums & Homes,282295.0,1.0,15.0,107.0,107.0, ,YES,#6,14.7,150416.0,1995
3113,Walk-Up Apartments,324854.0,1.0,17.0,289.0,296.0, ,YES,#6,11.71,150416.0,1983
3114,Elevator Apartments,190357.0,1.0,10.0,0.0,23.0, , ,#6,14.7,150416.0,1984
3115,Elevator Apartments,194762.0,1.0,9.0,182.0,184.0,YES, ,#4,8.4,150000.0,1989
3116,Walk-Up Apartments,248962.0,1.0,19.0,114.0,114.0, , ,#6,11.9,150000.0,1986
3117,Elevator Apartments,348580.0,1.0,26.0,281.0,285.0,YES, ,#6,14.7,150000.0,1978
3118,Elevator Apartments,263040.0,1.0,15.0,178.0,178.0, , ,#6,16.8,150000.0,1988
3119,Elevator Apartments,490265.0,1.0,28.0,138.0,146.0, ,YES,#6,14.7,150000.0,1983
3120,Walk-Up Apartments,19330.0,1.0,14.0,142.0,144.0,YES, ,#4,6.3,150000.0,1987
3121,Elevator Apartments,236300.0,1.0,16.0,0.0,2.0, , ,#4,23.0,149524.0,1983
3122,Elevator Apartments,258000.0,1.0,10.0,0.0,4.0, , ,#6,68.2,149358.0,1998
3123,Walk-Up Apartments,190738.0,1.0,19.0,180.0,185.0, , ,#6,8.3,149358.0,2008
3124,Elevator Apartments,215732.0,1.0,20.0,137.0,139.0, ,YES,#6,8.3,149358.0,2008
3125,Elevator Apartments,323690.0,1.0,16.0,174.0,174.0, , ,#6,8.3,149350.0,2006
3126,Educational Structures,408511.0,1.0,21.0,0.0,88.0, , ,#6,13.86,148500.0,1994
3127,Elevator Apartments,237164.0,2.0,15.0,87.0,90.0, ,YES,#6,14.74,147825.0,1991
3128,Walk-Up Apartments,212118.0,1.0,20.0,92.0,95.0, ,YES,#6,7.7,147825.0,1995
3129,Elevator Apartments,285213.0,1.0,20.0,0.0,52.0, , ,#6,14.7,147825.0,1981
3130,Condominiums,280809.0,1.0,15.0,147.0,150.0, ,YES,#6,14.11,147825.0,1994
3131,Elevator Apartments,350000.0,1.0,37.0,235.0,243.0, ,YES,#6,11.7,147825.0,2005
3132,Elevator Apartments,320600.0,2.0,21.0,143.0,143.0, ,YES,#6,20.66,147825.0,1994
3133,Elevator Apartments,214349.0,1.0,25.0,0.0,140.0, , ,#6,14.11,147825.0,1990
3134,Elevator Apartments,224000.0,1.0,19.0,121.0,126.0, ,YES,#6,14.7,147825.0,1984
3135,Elevator Apartments,158615.0,1.0,15.0,76.0,76.0, ,YES,#6,10.4,147825.0,1987
3136,Office Buildings,313563.0,1.0,12.0,158.0,164.0, ,YES,#6,14.1,147825.0,1981
3137,Elevator Apartments,208968.0,1.0,33.0,174.0,185.0,YES, ,#6,8.4,147825.0,1985
3138,Walk-Up Apartments,287062.0,1.0,29.0,279.0,282.0,YES, ,#6,14.89,147825.0,1996
3139,Elevator Apartments,77858.0,1.0,14.0,44.0,44.0, ,YES,#6,7.0,147825.0,1976
3140,Elevator Apartments,271388.0,1.0,21.0,218.0,218.0, ,YES,#6,14.11,147825.0,1997
3141,Walk-Up Apartments,97247.0,1.0,5.0,0.0,3.0, , ,#6,8.19,147825.0,1994
3142,Walk-Up Apartments,185582.0,1.0,31.0,106.0,107.0,YES, ,#6,7.7,147825.0,1982
3143,Elevator Apartments,259607.0,2.0,15.0,171.0,176.0, , ,#6,11.7,147679.0,2006
3144,Elevator Apartments,164073.0,1.0,21.0,195.0,196.0, , ,#6,6.2,147168.0,1980
3145,Walk-Up Apartments,415000.0,2.0,14.0,489.0,491.0, ,YES,#6,11.7,146000.0,1978
3146,Elevator Apartments,608532.0,1.0,29.0,208.0,212.0, ,YES,#6,21.0,146000.0,1983
3147,Elevator Apartments,165600.0,1.0,13.0,0.0,11.0, , ,#6,14.0,146000.0,1968
3148,Elevator Apartments,168000.0,1.0,13.0,127.0,127.0, , ,#6,14.1,146000.0,1975
3149,Elevator Apartments,240040.0,2.0,15.0,87.0,103.0, , ,#6,14.0,146000.0,1983
3150,Elevator Apartments,75379.0,1.0,12.0,28.0,28.0, ,YES,#6,4.2,146000.0,1988
3151,Walk-Up Apartments,130410.0,2.0,13.0,50.0,53.0, ,YES,#6,6.69,146000.0,1972
3152,Walk-Up Apartments,197904.0,1.0,17.0,207.0,210.0, ,YES,#6,7.5,146000.0,1978
3153,Elevator Apartments,73060.0,1.0,1.0,0.0,1.0, , ,#4,3.7,145447.0,1972
3154,Elevator Apartments,111310.0,1.0,13.0,80.0,82.0, ,YES,#6,7.4,144968.0,1980
3155,Elevator Apartments,206151.0,1.0,13.0,0.0,14.0, , ,#6,11.7,144450.0,2006
3156,Elevator Apartments,284930.0,2.0,13.0,0.0,4.0, , ,#6,11.7,144450.0,2005
3157,Elevator Apartments,428340.0,1.0,38.0,407.0,410.0, , ,#6,11.7,143775.0,2006
3158,Warehouses,121642.0,1.0,14.0,46.0,50.0, ,YES,#6,7.0,142898.0,1970
3159,Elevator Apartments,236789.0,1.0,13.0,312.0,321.0, , ,#6,11.9,142568.0,1982
3160,Walk-Up Apartments,280809.0,1.0,15.0,147.0,150.0, ,YES,#6,14.7,142554.0,1984
3161,Elevator Apartments,89391.0,1.0,6.0,100.0,110.0, , ,#6,7.35,142350.0,1985
3162,Walk-Up Apartments,187588.0,1.0,8.0,146.0,146.0, ,YES,#6,12.6,142127.0,1980
3163,Walk-Up Apartments,145230.0,1.0,12.0,17.0,18.0, ,YES,#6,6.8,141912.0,1980
3164,Condominiums,166600.0,1.0,15.0,60.0,65.0, ,YES,#6,7.8,141802.0,1978
3165,Elevator Apartments,156390.0,1.0,17.0,36.0,39.0, ,YES,#4,7.35,141255.0,1997
3166,Condominiums,305597.0,1.0,16.0,0.0,43.0, , ,#6,16.48,141240.0,1999
3167,Elevator Apartments,114767.0,1.0,15.0,109.0,115.0, , ,#6,9.5,140160.0,1980
3168,Elevator Apartments,319696.0,1.0,19.0,194.0,195.0, ,YES,#6,12.6,139613.0,2002
3169,Elevator Apartments,88320.0,1.0,8.0,45.0,46.0, ,YES,#6,6.3,139613.0,1983
3170,Elevator Apartments,158247.0,1.0,6.0,146.0,160.0, , ,#6,12.6,139613.0,1980
3171,Condominiums,617105.0,1.0,34.0,680.0,681.0,YES, ,#6,21.0,139612.0,1995
3172,Elevator Apartments,163969.0,1.0,14.0,74.0,77.0, ,YES,#6,9.8,139284.0,1970
3173,Elevator Apartments,386382.0,1.0,24.0,320.0,332.0, , ,#6,12.6,138336.0,1986
3174,Elevator Apartments,268750.0,1.0,30.0,261.0,263.0, , ,#6,12.6,138226.0,2001
3175,Elevator Apartments,217285.0,2.0,11.0,237.0,238.0, ,YES,#6,12.6,138226.0,1987
3176,Elevator Apartments,244619.0,1.0,22.0,0.0,1.0, , ,#6,10.8,138000.0,1971
3177,Elevator Apartments,222000.0,1.0,23.0,175.0,179.0, , ,#6,15.68,137970.0,1991
3178,Educational Structures,152342.0,1.0,18.0,262.0,266.0, , ,#6,6.3,137970.0,1968
3179,Elevator Apartments,324023.0,1.0,19.0,414.0,414.0,YES, ,#6,4.2,137477.0,1978
3180,Condominiums,166078.0,1.0,19.0,147.0,148.0, ,YES,#6,6.8,137460.0,1977
3181,Elevator Apartments,106149.0,1.0,16.0,77.0,77.0, , ,#6,6.3,137460.0,1986
3182,Office Buildings,107669.0,1.0,18.0,0.0,1.0, , ,#6,6.28,137460.0,1987
3183,Walk-Up Apartments,210468.0,1.0,6.0,192.0,192.0, ,YES,#6,6.3,137460.0,1988
3184,Walk-Up Apartments,77028.0,1.0,6.0,83.0,83.0, , ,#6,7.0,136875.0,1984
3185,Elevator Apartments,143338.0,1.0,11.0,0.0,0.0, , ,#6,10.5,136875.0,1967
3186,Elevator Apartments,158617.0,1.0,12.0,96.0,103.0, , ,#6,10.04,136875.0,1973
3187,Elevator Apartments,203479.0,1.0,15.0,80.0,81.0, ,YES,#6,8.99,136875.0,1972
3188,Elevator Apartments,165357.0,1.0,14.0,45.0,45.0, ,YES,#6,9.5,136328.0,1980
3189,Walk-Up Apartments,167076.0,1.0,15.0,109.0,119.0, ,YES,#6,12.6,135926.0,1976
3190,Condominiums,32409.0,1.0,7.0,27.0,28.0, , ,#4,3.55,135720.0,1980
3191,Walk-Up Apartments,127782.0,1.0,19.0,100.0,100.0, ,YES,#6,7.4,135415.0,1973
3192,Walk-Up Apartments,208986.0,1.0,14.0,48.0,48.0, ,YES,#6,12.0,135050.0,1978
3193,Elevator Apartments,142110.0,1.0,15.0,42.0,46.0, ,YES,#6,10.3,135050.0,1979
3194,Elevator Apartments,68810.0,2.0,19.0,702.0,731.0,YES, ,#6,17.7,135000.0,1981
3195,Elevator Apartments,438643.0,1.0,23.0,0.0,155.0, , ,#6,13.48,134820.0,1997
3196,Walk-Up Apartments,110447.0,1.0,16.0,63.0,67.0, , ,#6,6.6,134320.0,1968
3197,Elevator Apartments,111719.0,1.0,12.0,27.0,28.0,YES, ,#6,7.35,134138.0,1976
3198,Elevator Apartments,139566.0,1.0,14.0,173.0,173.0, ,YES,#6,8.8,133809.0,2006
3199,Elevator Apartments,627895.0,2.0,26.0,490.0,491.0, , ,#6,7.75,133809.0,2003
3200,Elevator Apartments,627895.0,2.0,26.0,490.0,491.0, , ,#6,7.75,133809.0,2003
3201,Elevator Apartments,74521.0,1.0,16.0,0.0,192.0, , ,#6,7.3,133626.0,1970
3202,Elevator Apartments,754487.0,3.0,24.0,0.0,104.0, , ,#6,11.38,133535.0,1981
3203,Elevator Apartments,103754.0,2.0,12.0,0.0,1.0, , ,#6,6.37,132860.0,1972
3204,Elevator Apartments,207700.0,3.0,26.0,0.0,6.0, , ,#6,7.35,132860.0,1979
3205,Walk-Up Apartments,377297.0,1.0,34.0,435.0,442.0, , ,#6,12.6,131692.0,1978
3206,Elevator Apartments,238456.0,1.0,16.0,176.0,178.0, ,YES,#6,10.0,131692.0,1978
3207,Theatres,232306.0,1.0,45.0,261.0,262.0,YES, ,#6,9.81,131526.0,1981
3208,Elevator Apartments,230473.0,1.0,20.0,198.0,198.0, ,YES,#6,11.93,131400.0,1998
3209,Elevator Apartments,164672.0,1.0,13.0,66.0,70.0, ,YES,#6,6.3,131400.0,1993
3210,Elevator Apartments,207542.0,1.0,14.0,85.0,92.0, ,YES,#6,12.6,131400.0,1984
3211,Walk-Up Apartments,116824.0,1.0,16.0,96.0,98.0, ,YES,#6,6.3,131400.0,1984
3212,Elevator Apartments,202485.0,1.0,15.0,97.0,97.0, ,YES,#6,12.6,131400.0,2000
3213,Elevator Apartments,332383.0,1.0,17.0,0.0,0.0, , ,#6,14.11,131400.0,1998
3214,Elevator Apartments,204426.0,1.0,6.0,214.0,216.0,YES, ,#6,12.6,131400.0,1992
3215,Elevator Apartments,133920.0,1.0,8.0,118.0,118.0, ,YES,#6,6.3,131400.0,1987
3216,Elevator Apartments,121234.0,1.0,17.0,128.0,131.0, , ,#6,4.5,131400.0,1968
3217,Elevator Apartments,207905.0,1.0,11.0,0.0,65.0, , ,#6,12.63,131400.0,1991
3218,Elevator Apartments,112083.0,1.0,17.0,74.0,74.0, ,YES,#6,6.3,131400.0,1978
3219,Elevator Apartments,114407.0,1.0,27.0,148.0,151.0, ,YES,#6,5.0,131400.0,1983
3220,Elevator Apartments,45265.0,1.0,6.0,45.0,46.0, , ,#6,12.62,131400.0,1990
3221,Condominiums,199625.0,1.0,18.0,68.0,68.0, ,YES,#6,12.6,131400.0,1979
3222,Walk-Up Apartments,202485.0,1.0,15.0,97.0,97.0, ,YES,#6,12.6,131400.0,1976
3223,Elevator Apartments,68810.0,2.0,19.0,702.0,731.0,YES, ,#6,12.62,131400.0,1996
3224,Elevator Apartments,166596.0,1.0,14.0,60.0,61.0, ,YES,#6,12.6,131400.0,1999
3225,Elevator Apartments,122346.0,1.0,13.0,154.0,154.0, ,YES,#6,6.27,131400.0,1997
3226,Educational Structures,336543.0,1.0,14.0,334.0,334.0, ,YES,#6,12.6,131400.0,2000
3227,Walk-Up Apartments,68810.0,2.0,19.0,702.0,731.0,YES, ,#6,12.62,131400.0,1996
3228,Condominiums,151912.0,1.0,15.0,115.0,115.0, ,YES,#6,12.62,131400.0,1982
3229,Elevator Apartments,228518.0,1.0,16.0,0.0,1.0, , ,#6,5.88,131400.0,1989
3230,Condominiums,470492.0,1.0,27.0,0.0,5.0, , ,#6,14.7,131400.0,1999
3231,Walk-Up Apartments,199502.0,2.0,13.0,147.0,149.0, , ,#6,12.6,131400.0,1980
3232,Elevator Apartments,329116.0,1.0,17.0,1.0,108.0, , ,#6,16.47,131400.0,1982
3233,Elevator Apartments,149056.0,1.0,12.0,51.0,52.0, ,YES,#6,7.0,131400.0,1986
3234,Elevator Apartments,120592.0,1.0,12.0,0.0,10.0, , ,#6,12.54,131400.0,1991
3235,Elevator Apartments,86182.0,1.0,13.0,71.0,71.0, ,YES,#6,14.7,131400.0,2002
3236,Walk-Up Apartments,600613.0,2.0,20.0,193.0,193.0, ,YES,#6,11.72,131400.0,2002
3237,Warehouses,127933.0,1.0,16.0,145.0,147.0,YES, ,#6,7.0,131400.0,1992
3238,Elevator Apartments,191223.0,1.0,11.0,0.0,14.0, , ,#4,12.6,131400.0,1967
3239,Elevator Apartments,262297.0,1.0,19.0,261.0,261.0, ,YES,#6,14.74,131400.0,2000
3240,Elevator Apartments,100772.0,1.0,16.0,50.0,50.0, ,YES,#6,7.1,131327.0,1971
3241,Elevator Apartments,258120.0,1.0,13.0,0.0,1.0, , ,#4,16.8,131052.0,2000
3242,Elevator Apartments,106770.0,1.0,12.0,0.0,14.0, , ,#4,6.3,131038.0,1981
3243,Elevator Apartments,113062.0,1.0,11.0,0.0,13.0, , ,#4,6.4,131038.0,1980
3244,Elevator Apartments,319696.0,1.0,19.0,194.0,195.0, ,YES,#6,15.7,131000.0,1976
3245,Walk-Up Apartments,11629.0,1.0,7.0,18.0,19.0, , ,#6,6.28,130816.0,1986
3246,Loft Buildings,57415.0,1.0,6.0,37.0,44.0, , ,#4,6.2,130816.0,1986
3247,Walk-Up Apartments,322451.0,1.0,31.0,169.0,353.0,YES, ,#6,13.3,130500.0,2005
3248,Elevator Apartments,102881.0,1.0,14.0,31.0,32.0, ,YES,#6,5.85,130232.0,1969
3249,Educational Structures,240000.0,1.0,15.0,0.0,1.0, , ,#4,5.2,130000.0,1984
3250,Walk-Up Apartments,410334.0,1.0,21.0,0.0,47.0, , ,#6,2.1,130000.0,1979
3251,Elevator Apartments,238548.0,1.0,15.0,83.0,91.0, ,YES,#6,10.08,130000.0,1988
3252,Elevator Apartments,236300.0,1.0,16.0,0.0,2.0, , ,#4,13.3,129867.0,2003
3253,Elevator Apartments,214780.0,1.0,10.0,0.0,1.0, , ,#4,6.6,129210.0,2005
3254,Elevator Apartments,408644.0,2.0,35.0,322.0,325.0, , ,#6,18.8,129024.0,1980
3255,Elevator Apartments,97685.0,1.0,13.0,82.0,88.0, ,YES,#6,6.3,129000.0,1984
3256,Walk-Up Apartments,116520.0,1.0,12.0,65.0,65.0, ,YES,#6,11.7,128772.0,1973
3257,Hotels,319696.0,1.0,19.0,194.0,195.0, ,YES,#6,12.6,128520.0,1992
3258,Condominiums,166832.0,1.0,15.0,106.0,107.0,YES, ,#6,8.4,128200.0,1971
3259,Loft Buildings,269119.0,1.0,21.0,421.0,426.0, ,YES,#6,10.0,128188.0,2006
3260,Walk-Up Apartments,651162.0,1.0,35.0,430.0,460.0, , ,#6,8.2,128115.0,1980
3261,Walk-Up Apartments,224400.0,1.0,23.0,0.0,28.0, , ,#4,6.6,128115.0,2003
3262,Elevator Apartments,606078.0,1.0,17.0,0.0,17.0, , ,#6,20.0,128000.0,1982
3263,Elevator Apartments,235450.0,1.0,15.0,0.0,70.0, , ,#6,8.4,127896.0,1981
3264,Elevator Apartments,576540.0,1.0,16.0,0.0,1.0, , ,#6,10.0,127800.0,2006
3265,Elevator Apartments,141350.0,1.0,13.0,129.0,146.0,YES, ,#6,9.8,127750.0,1973
3266,Walk-Up Apartments,56652.0,1.0,6.0,52.0,54.0, , ,#6,6.3,127750.0,1976
3267,Elevator Apartments,142075.0,1.0,15.0,63.0,66.0, ,YES,#6,7.1,127750.0,1979
3268,Office Buildings,342596.0,1.0,18.0,0.0,1.0, , ,#6,7.0,127750.0,1971
3269,Elevator Apartments,180277.0,1.0,12.0,0.0,50.0, , ,#6,7.0,127750.0,1969
3270,Elevator Apartments,102692.0,1.0,17.0,76.0,87.0, , ,#6,3.6,127750.0,1977
3271,Loft Buildings,100315.0,1.0,6.0,83.0,86.0, ,YES,#6,8.82,127750.0,1978
3272,Elevator Apartments,76368.0,1.0,6.0,66.0,66.0, , ,#6,6.3,127750.0,1970
3273,Elevator Apartments,258639.0,1.0,24.0,0.0,26.0, , ,#6,6.3,127400.0,1970
3274,Educational Structures,301851.0,1.0,30.0,367.0,371.0, ,YES,#6,1.0,127312.0,1979
3275,Walk-Up Apartments,109669.0,1.0,20.0,110.0,113.0, , ,#6,6.3,126533.0,1979
3276,Walk-Up Apartments,136095.0,1.0,20.0,157.0,159.0,YES, ,#6,6.3,126000.0,1988
3277,Asylums & Homes,161425.0,2.0,14.0,115.0,121.0, ,YES,#6,11.8,126000.0,1972
3278,Elevator Apartments,230940.0,1.0,16.0,42.0,42.0, ,YES,#6,11.9,125560.0,1982
3279,Office Buildings,129465.0,1.0,16.0,0.0,28.0, , ,#4,7.0,125517.0,1971
3280,Elevator Apartments,486484.0,1.0,30.0,275.0,287.0, , ,#4,12.56,125000.0,1986
3281,Elevator Apartments,153347.0,1.0,16.0,153.0,153.0, ,YES,#6,12.6,125000.0,1988
3282,Loft Buildings,606078.0,1.0,17.0,0.0,17.0, , ,#6,33.04,125000.0,2002
3283,Office Buildings,357000.0,1.0,24.0,410.0,413.0, , ,#6,11.9,125000.0,1989
3284,Elevator Apartments,110111.0,1.0,12.0,159.0,159.0, , ,#6,11.92,125000.0,1986
3285,Office Buildings,179142.0,1.0,15.0,0.0,3.0, , ,#6,9.8,125000.0,1967
3286,Elevator Apartments,237139.0,1.0,16.0,0.0,66.0, , ,#6,16.48,125000.0,1989
3287,Elevator Apartments,251289.0,1.0,23.0,304.0,306.0,YES, ,#6,11.2,125000.0,1986
3288,Elevator Apartments,651391.0,1.0,21.0,360.0,372.0, ,YES,#6,13.39,125000.0,1990
3289,Educational Structures,56850.0,1.0,6.0,64.0,67.0, , ,#6,8.5,124830.0,1981
3290,Walk-Up Apartments,164530.0,1.0,14.0,74.0,79.0, , ,#6,8.55,124830.0,1984
3291,Educational Structures,148982.0,1.0,13.0,106.0,106.0, ,YES,#6,11.4,124684.0,1985
3292,Elevator Apartments,71189.0,1.0,11.0,34.0,35.0, , ,#6,6.3,124100.0,1984
3293,Elevator Apartments,606078.0,1.0,17.0,0.0,17.0, , ,#6,23.12,123900.0,1992
3294,Elevator Apartments,305597.0,1.0,16.0,0.0,43.0, , ,#6,16.4,123600.0,1978
3295,Elevator Apartments,288954.0,1.0,18.0,0.0,18.0, , ,#6,14.2,123188.0,1986
3296,Walk-Up Apartments,224000.0,1.0,19.0,121.0,126.0, ,YES,#6,14.5,123188.0,2003
3297,Walk-Up Apartments,184745.0,1.0,19.0,229.0,232.0, ,YES,#6,12.6,123188.0,2001
3298,Elevator Apartments,109723.0,1.0,6.0,102.0,103.0, , ,#6,12.6,123188.0,1985
3299,Elevator Apartments,436842.0,2.0,17.0,400.0,411.0, , ,#6,12.6,123188.0,2001
3300,Elevator Apartments,265173.0,1.0,18.0,272.0,281.0,YES, ,#6,12.62,123188.0,1990
3301,Condominiums,210213.0,3.0,31.0,232.0,237.0, , ,#6,12.3,123188.0,1996
3302,Elevator Apartments,374584.0,1.0,10.0,0.0,7.0, , ,#6,12.63,123188.0,1994
3303,Elevator Apartments,87979.0,1.0,10.0,120.0,124.0, , ,#6,11.38,123188.0,1993
3304,Condominiums,216606.0,1.0,29.0,269.0,270.0,YES, ,#4,11.4,123187.0,1974
3305,Hotels,10000.0,1.0,17.0,241.0,242.0,YES, ,#6,13.72,123187.0,1988
3306,Elevator Apartments,291828.0,1.0,12.0,0.0,94.0, , ,#6,1.3,123000.0,1978
3307,Walk-Up Apartments,172065.0,1.0,13.0,0.0,3.0, , ,#6,8.9,123000.0,1979
3308,Walk-Up Apartments,165372.0,1.0,15.0,123.0,123.0, ,YES,#6,11.8,122640.0,1972
3309,Walk-Up Apartments,116100.0,1.0,20.0,0.0,61.0, , ,#6,8.6,122640.0,1983
3310,Walk-Up Apartments,101221.0,1.0,19.0,114.0,115.0, ,YES,#6,4.2,122640.0,1971
3311,Elevator Apartments,236315.0,1.0,20.0,241.0,247.0, , ,#6,6.6,122000.0,2006
3312,Elevator Apartments,150782.0,1.0,14.0,60.0,64.0, ,YES,#6,10.8,121618.0,1980
3313,Elevator Apartments,54285.0,1.0,6.0,55.0,55.0, , ,#6,5.9,121605.0,1981
3314,Elevator Apartments,211870.0,1.0,14.0,65.0,71.0, ,YES,#6,6.6,121546.0,2006
3315,Walk-Up Apartments,135098.0,1.0,10.0,162.0,162.0, , ,#6,6.6,121546.0,2008
3316,Hotels,4080.0,1.0,3.0,0.0,0.0, , ,#6,6.6,121546.0,2008
3317,Walk-Up Apartments,204269.0,1.0,15.0,192.0,200.0, , ,#6,6.9,121545.0,2006
3318,Elevator Apartments,341950.0,1.0,21.0,364.0,370.0, , ,#6,6.6,121545.0,2008
3319,Elevator Apartments,210000.0,1.0,15.0,183.0,185.0, ,YES,#6,6.6,121545.0,2007
3320,Elevator Apartments,265562.0,4.0,12.0,0.0,6.0, , ,#6,6.6,121545.0,2005
3321,Factory & Industrial Buildings,169386.0,1.0,15.0,174.0,175.0, , ,#6,6.69,121545.0,2003
3322,Warehouses,106920.0,1.0,14.0,169.0,170.0, , ,#6,6.6,121545.0,2008
3323,Loft Buildings,119550.0,2.0,7.0,0.0,2.0, , ,#6,6.6,121545.0,2007
3324,Elevator Apartments,72187.0,1.0,8.0,0.0,1.0, , ,#6,6.6,121545.0,2007
3325,Elevator Apartments,646044.0,1.0,16.0,434.0,434.0, ,YES,#6,16.94,121000.0,1998
3326,Elevator Apartments,290482.0,1.0,19.0,267.0,278.0, ,YES,#6,13.3,120888.0,2008
3327,Elevator Apartments,438635.0,1.0,38.0,510.0,511.0, , ,#6,13.3,120888.0,2005
3328,Walk-Up Apartments,438635.0,1.0,38.0,510.0,511.0, , ,#6,13.39,120888.0,2002
3329,Office Buildings,274116.0,3.0,12.0,0.0,36.0, , ,#6,13.3,120888.0,2008
3330,Elevator Apartments,68108.0,1.0,6.0,60.0,60.0, , ,#6,10.3,120723.0,1972
3331,Walk-Up Apartments,62110.0,1.0,6.0,69.0,69.0, ,YES,#4,4.62,120450.0,1987
3332,Walk-Up Apartments,163103.0,1.0,16.0,0.0,19.0, , ,#4,6.0,120085.0,1951
3333,Elevator Apartments,181000.0,1.0,20.0,105.0,107.0, ,YES,#6,7.5,120000.0,1984
3334,Elevator Apartments,118694.0,1.0,13.0,163.0,163.0, ,YES,#6,10.4,120000.0,1986
3335,Elevator Apartments,703796.0,1.0,6.0,0.0,2.0,YES, ,#6,8.19,120000.0,1988
3336,Walk-Up Apartments,298312.0,2.0,11.0,0.0,404.0, , ,#6,19.18,119875.0,1994
3337,Elevator Apartments,175074.0,1.0,20.0,157.0,160.0,YES, ,#6,8.19,119574.0,1993
3338,Walk-Up Apartments,377441.0,1.0,25.0,0.0,78.0, , ,#6,16.8,119232.0,2001
3339,Condominiums,139000.0,1.0,16.0,147.0,148.0, ,YES,#6,5.25,118933.0,1977
3340,Elevator Apartments,162676.0,1.0,16.0,100.0,102.0, ,YES,#6,12.6,118752.0,2001
3341,Elevator Apartments,244935.0,1.0,18.0,67.0,70.0, ,YES,#6,11.7,118625.0,1969
3342,Walk-Up Apartments,369736.0,1.0,21.0,305.0,306.0, ,YES,#6,0.0,118297.0,1976
3343,Elevator Apartments,113128.0,1.0,16.0,148.0,148.0,YES, ,#6,10.36,118260.0,1991
3344,Walk-Up Apartments,143554.0,1.0,15.0,120.0,123.0, ,YES,#6,6.0,118260.0,1969
3345,Elevator Apartments,82608.0,1.0,10.0,70.0,70.0, ,YES,#6,6.4,117530.0,1986
3346,Office Buildings,94679.0,1.0,15.0,59.0,62.0,YES, ,#6,6.69,116800.0,1977
3347,Elevator Apartments,83329.0,1.0,12.0,33.0,33.0, ,YES,#6,8.5,116800.0,1977
3348,Elevator Apartments,160357.0,1.0,16.0,98.0,105.0, ,YES,#6,6.6,116800.0,1969
3349,Elevator Apartments,163681.0,1.0,13.0,0.0,28.0, , ,#6,9.8,116800.0,1974
3350,Elevator Apartments,165527.0,2.0,19.0,144.0,145.0, , ,#6,11.4,116800.0,1977
