,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
2615,Elevator Apartments,42000.0,1.0,6.0,41.0,41.0, , ,#6,3.3,35770.0,1995
2616,Elevator Apartments,43840.0,1.0,6.0,42.0,42.0, , ,#6,3.3,35770.0,1989
2617,Walk-Up Apartments,42030.0,1.0,6.0,41.0,41.0, , ,#6,3.3,35770.0,1987
2618,Elevator Apartments,36000.0,1.0,4.0,44.0,44.0, , ,#6,3.6,35000.0,1987
2619,Condominiums,49800.0,1.0,6.0,48.0,48.0, , ,#4,3.72,35000.0,1986
2620,Elevator Apartments,49800.0,1.0,6.0,48.0,48.0, , ,#6,3.6,35000.0,1983
2621,Elevator Apartments,43000.0,1.0,5.0,49.0,49.0, , ,#4,3.7,35000.0,1985
2622,Elevator Apartments,49632.0,1.0,6.0,42.0,42.0, , ,#6,3.43,35000.0,1987
2623,Office Buildings,47505.0,1.0,6.0,53.0,53.0, , ,#4,2.77,35000.0,1990
2624,Elevator Apartments,30400.0,1.0,4.0,42.0,42.0, , ,#6,3.4,35000.0,1984
2625,Elevator Apartments,36400.0,1.0,4.0,46.0,46.0, , ,#4,3.1,34493.0,1981
2626,Elevator Apartments,53000.0,1.0,6.0,59.0,59.0, , ,#6,4.2,34480.0,1984
2627,Hotels,47250.0,1.0,6.0,36.0,36.0, , ,#6,3.3,34478.0,1985
2628,Elevator Apartments,42000.0,1.0,6.0,42.0,42.0, , ,#6,3.0,34328.0,1969
2629,Elevator Apartments,80690.0,1.0,6.0,67.0,67.0, ,YES,#6,5.25,34000.0,1988
2630,Elevator Apartments,44400.0,1.0,4.0,55.0,61.0, , ,#4,3.8,32850.0,1985
2631,Office Buildings,40558.0,1.0,7.0,95.0,95.0, , ,#4,3.8,32850.0,1983
2632,Elevator Apartments,22000.0,1.0,6.0,25.0,25.0, , ,#4,2.1,32850.0,1960
2633,Elevator Apartments,180000.0,3.0,6.0,195.0,195.0, , ,#6,2.6,32815.0,2008
2634,Elevator Apartments,180000.0,3.0,6.0,195.0,195.0, , ,#6,2.6,32815.0,2008
2635,Elevator Apartments,50400.0,1.0,6.0,52.0,52.0, , ,#6,4.2,32128.0,1985
2636,Elevator Apartments,121575.0,2.0,5.0,0.0,1.0, , ,#4,3.43,32120.0,1984
2637,Elevator Apartments,38400.0,1.0,4.0,40.0,40.0, , ,#4,3.1,32100.0,1976
2638,Office Buildings,41963.0,1.0,6.0,48.0,48.0, , ,#4,2.3,32027.0,2008
2639,Elevator Apartments,36360.0,1.0,4.0,44.0,44.0, , ,#4,3.72,32000.0,1989
2640,Elevator Apartments,48000.0,1.0,6.0,47.0,47.0, , ,#6,2.8,32000.0,1983
2641,Hotels,48000.0,2.0,6.0,53.0,58.0, , ,#4,4.2,31755.0,1995
2642,Elevator Apartments,43182.0,1.0,6.0,58.0,58.0, , ,#4,4.2,31755.0,2003
2643,Walk-Up Apartments,53784.0,1.0,6.0,60.0,60.0, , ,#4,4.06,31755.0,1999
2644,Elevator Apartments,59312.0,1.0,6.0,66.0,66.0, ,YES,#4,3.3,31755.0,2005
2645,Walk-Up Apartments,57600.0,3.0,4.0,59.0,59.0, , ,#4,4.2,31750.0,2000
2646,Walk-Up Apartments,40400.0,1.0,4.0,42.0,43.0, , ,#4,2.34,31171.0,2003
2647,Walk-Up Apartments,40410.0,1.0,6.0,42.0,42.0, , ,#6,2.8,31171.0,1982
2648,Walk-Up Apartments,52200.0,1.0,6.0,43.0,43.0, , ,#6,2.8,31171.0,1988
2649,Walk-Up Apartments,32400.0,1.0,4.0,46.0,46.0, , ,#6,2.8,31171.0,1987
2650,Elevator Apartments,38875.0,1.0,6.0,42.0,42.0, , ,#6,2.8,31171.0,1984
2651,Elevator Apartments,37770.0,1.0,6.0,36.0,36.0, , ,#6,2.8,31000.0,1995
2652,Hospitals & Health,30520.0,1.0,4.0,43.0,43.0, , ,#4,2.94,30660.0,1993
2653,Condominiums,195000.0,7.0,3.0,225.0,225.0, , ,#6,2.8,30626.0,1982
2654,Walk-Up Apartments,38900.0,1.0,6.0,36.0,36.0, , ,#4,2.8,30405.0,1988
2655,Loft Buildings,30240.0,1.0,4.0,42.0,42.0, , ,#4,2.8,30405.0,1985
2656,Elevator Apartments,26928.0,1.0,4.0,35.0,35.0, , ,#4,2.8,30405.0,1985
2657,Office Buildings,35600.0,2.0,4.0,20.0,23.0, , ,#4,2.8,30405.0,1986
2658,Elevator Apartments,35208.0,1.0,6.0,34.0,35.0, , ,#4,2.7,30405.0,1985
2659,Walk-Up Apartments,42488.0,1.0,6.0,43.0,43.0, , ,#6,3.4,30076.0,1985
2660,Elevator Apartments,17000.0,1.0,4.0,14.0,17.0, , ,#4,3.43,30000.0,1987
2661,"Churches, Synagogues, etc.",36400.0,1.0,4.0,43.0,43.0, , ,#4,2.77,30000.0,1986
2662,Walk-Up Apartments,38000.0,1.0,6.0,41.0,41.0, , ,#4,3.1,30000.0,1983
2663,Walk-Up Apartments,48628.0,1.0,9.0,48.0,48.0,YES, ,#4,5.0,30000.0,1988
2664,Walk-Up Apartments,67500.0,1.0,6.0,54.0,54.0, ,YES,#4,4.06,30000.0,1988
2665,Elevator Apartments,70097.0,1.0,6.0,52.0,52.0, , ,#4,4.06,30000.0,1989
2666,Elevator Apartments,32672.0,1.0,4.0,38.0,43.0, , ,#6,2.8,30000.0,1980
2667,Residence - Multi-Use,48702.0,1.0,6.0,51.0,51.0, , ,#6,3.4,30000.0,1985
2668,Elevator Apartments,57652.0,1.0,6.0,66.0,66.0, , ,#6,4.2,29700.0,2000
2669,Elevator Apartments,46980.0,1.0,6.0,48.0,48.0, , ,#4,3.78,29675.0,2001
2670,Elevator Apartments,50400.0,1.0,6.0,59.0,59.0, ,YES,#6,3.3,29675.0,2008
2671,Elevator Apartments,47136.0,1.0,6.0,48.0,48.0, , ,#6,3.79,29675.0,1996
2672,Elevator Apartments,50781.0,1.0,6.0,55.0,61.0, , ,#6,4.2,29675.0,2001
2673,Educational Structures,59064.0,1.0,6.0,55.0,55.0, , ,#4,3.1,29200.0,1990
2674,Elevator Apartments,31400.0,1.0,4.0,36.0,43.0, , ,#6,2.8,29200.0,1970
2675,Elevator Apartments,51611.0,1.0,6.0,42.0,42.0, , ,#4,3.72,29127.0,1998
2676,Walk-Up Apartments,28500.0,1.0,4.0,24.0,24.0, , ,#4,3.78,29127.0,2000
2677,Walk-Up Apartments,28160.0,1.0,4.0,26.0,26.0, , ,#4,2.6,28361.0,1985
2678,Elevator Apartments,36105.0,1.0,5.0,39.0,39.0, , ,#4,2.6,28361.0,1984
2679,Store Buildings,28800.0,1.0,4.0,31.0,31.0, , ,#4,2.0,28361.0,2006
2680,Office Buildings,27480.0,2.0,5.0,34.0,40.0, , ,#4,2.6,28361.0,1985
2681,Elevator Apartments,113700.0,78.0,2.0,134.0,134.0, ,YES,#4,2.6,28361.0,1984
